(3.117883526436107, 4.898320346273652)
(10.130765350894151, 18.097090025195993)
(6.750642449740147, 19.840157164254784)
(13.18519128114438, 12.656514738056924)
(13.23197607644023, 1.5778976747414108)
(7.4894428160775135, 16.138279203125606)
(15.79741814773512, 15.504237848985692)
(10.558401686348702, 10.214285172170793)
(1.3239535778594447, 13.665329312192558)
(15.620064811992194, 3.974732374053007)
(2.809537805087976, 8.054509221399456)
(1.2799123387934674, 1.3172643409511653)
(10.660978768772736, 19.521639413749902)
(19.06357772393958, 15.819752040097184)
(7.730892928262174, 16.66922479567519)
(8.20394397301351, 14.091005171405058)
(16.76089982881265, 7.136301884750063)
(11.474157392684468, 19.886462265979606)
(11.852374611728813, 17.782360982612907)
(10.024304754799484, 3.568751377242163)
(1.6634845044062962, 16.4564738280839)
(0.6935346556886746, 8.224956436394951)
(6.258199715555981, 15.765118701245601)
(7.729505249082777, 9.582713288332743)
(16.720349510551966, 1.7650389224980678)
(18.533471577636007, 7.934582081223429)
(10.260690089654007, 8.980088182102168)
(16.11022341737937, 4.103820433484646)
(8.96076428405073, 15.503017479278034)
(16.558857865123123, 1.9543601632440133)
